Time [s],Channel 0,Channel 1,Channel 2,Channel 7
1.291702000,0,0,0,0
1.291708000,0,0,0,1
1.291722000,0,0,1,1
1.301742000,0,0,0,1
1.301744000,0,0,0,0
1.301749000,0,0,0,1
1.301761000,0,0,1,1
1.306699000,0,0,0,1
1.306710000,0,0,0,0
1.306716000,0,0,0,1
1.306725000,1,0,0,1
1.316702000,0,0,0,1
1.316710000,0,0,0,0
1.316717000,0,0,0,1
1.316726000,0,1,0,1
1.326704000,0,0,0,1
1.326713000,0,0,0,0
1.326719000,0,0,0,1
1.326728000,1,0,0,1
1.336707000,0,0,0,1
1.336715000,0,0,0,0
1.336722000,0,0,0,1
1.336730000,1,0,0,1
1.346711000,0,0,0,1
1.346719000,0,0,0,0
1.346725000,0,0,0,1
1.346734000,0,1,0,1
1.356713000,0,0,0,1
1.356722000,0,0,0,0
1.356728000,0,0,0,1
1.356742000,0,0,1,1
1.366760000,0,0,0,1
1.366762000,0,0,0,0
1.366768000,0,0,0,1
1.366781000,0,0,1,1
1.371718000,0,0,0,1
1.371728000,0,0,0,0
1.371734000,0,0,0,1
1.371743000,1,0,0,1
1.381720000,0,0,0,1
1.381729000,0,0,0,0
1.381735000,0,0,0,1
1.381744000,0,1,0,1
1.391723000,0,0,0,1
1.391731000,0,0,0,0
1.391737000,0,0,0,1
1.391746000,1,0,0,1
1.401727000,0,0,0,1
1.401735000,0,0,0,0
1.401741000,0,0,0,1
1.401750000,1,0,0,1
1.411729000,0,0,0,1
1.411738000,0,0,0,0
1.411744000,0,0,0,1
1.411753000,0,1,0,1
1.421732000,0,0,0,1
1.421740000,0,0,0,0
1.421747000,0,0,0,1
1.421760000,0,0,1,1
1.431780000,0,0,0,1
1.431782000,0,0,0,0
1.431787000,0,0,0,1
1.431799000,0,0,1,1
1.436736000,0,0,0,1
1.436747000,0,0,0,0
1.436753000,0,0,0,1
1.436761000,1,0,0,1
1.446739000,0,0,0,1
1.446747000,0,0,0,0
1.446753000,0,0,0,1
1.446762000,0,1,0,1
1.456743000,0,0,0,1
1.456751000,0,0,0,0
1.456757000,0,0,0,1
1.456766000,1,0,0,1
1.466745000,0,0,0,1
1.466753000,0,0,0,0
1.466760000,0,0,0,1
1.466769000,1,0,0,1
1.476748000,0,0,0,1
1.476756000,0,0,0,0
1.476762000,0,0,0,1
1.476771000,0,1,0,1
1.486750000,0,0,0,1
1.486759000,0,0,0,0
1.486765000,0,0,0,1
1.486778000,0,0,1,1
1.496798000,0,0,0,1
1.496800000,0,0,0,0
1.496806000,0,0,0,1
1.496817000,0,0,1,1
1.501755000,0,0,0,1
1.501765000,0,0,0,0
1.501771000,0,0,0,1
1.501780000,1,0,0,1
1.511759000,0,0,0,1
1.511767000,0,0,0,0
1.511773000,0,0,0,1
1.511782000,0,1,0,1
1.521761000,0,0,0,1
1.521769000,0,0,0,0
1.521776000,0,0,0,1
1.521785000,1,0,0,1
1.531764000,0,0,0,1
1.531772000,0,0,0,0
1.531778000,0,0,0,1
1.531787000,1,0,0,1
1.541766000,0,0,0,1
1.541774000,0,0,0,0
1.541781000,0,0,0,1
1.541790000,0,1,0,1
1.551769000,0,0,0,1
1.551777000,0,0,0,0
1.551783000,0,0,0,1
1.551797000,0,0,1,1
1.561817000,0,0,0,1
1.561818000,0,0,0,0
1.561824000,0,0,0,1
1.561836000,0,0,1,1
1.566774000,0,0,0,1
1.566785000,0,0,0,0
1.566791000,0,0,0,1
1.566800000,1,0,0,1
1.576777000,0,0,0,1
1.576785000,0,0,0,0
1.576792000,0,0,0,1
1.576801000,0,1,0,1
1.586779000,0,0,0,1
1.586788000,0,0,0,0
1.586794000,0,0,0,1
1.586803000,1,0,0,1
1.596782000,0,0,0,1
1.596790000,0,0,0,0
1.596797000,0,0,0,1
1.596805000,1,0,0,1
1.606784000,0,0,0,1
1.606793000,0,0,0,0
1.606799000,0,0,0,1
1.606808000,0,1,0,1
1.616788000,0,0,0,1
1.616797000,0,0,0,0
1.616803000,0,0,0,1
1.616817000,0,0,1,1
1.626835000,0,0,0,1
1.626837000,0,0,0,0
1.626843000,0,0,0,1
1.626854000,0,0,1,1
1.631793000,0,0,0,1
1.631804000,0,0,0,0
1.631809000,0,0,0,1
1.631818000,1,0,0,1
1.641796000,0,0,0,1
1.641804000,0,0,0,0
1.641810000,0,0,0,1
1.641819000,0,1,0,1
1.651798000,0,0,0,1
1.651806000,0,0,0,0
1.651813000,0,0,0,1
1.651821000,1,0,0,1
1.661800000,0,0,0,1
1.661809000,0,0,0,0
1.661815000,0,0,0,1
1.661824000,1,0,0,1
1.671804000,0,0,0,1
1.671813000,0,0,0,0
1.671819000,0,0,0,1
1.671828000,0,1,0,1
1.681807000,0,0,0,1
1.681815000,0,0,0,0
1.681822000,0,0,0,1
1.681835000,0,0,1,1
1.691854000,0,0,0,1
1.691856000,0,0,0,0
1.691862000,0,0,0,1
1.691874000,0,0,1,1
1.696811000,0,0,0,1
1.696822000,0,0,0,0
1.696828000,0,0,0,1
1.696836000,1,0,0,1
1.706814000,0,0,0,1
1.706822000,0,0,0,0
1.706828000,0,0,0,1
1.706837000,0,1,0,1
1.716818000,0,0,0,1
1.716826000,0,0,0,0
1.716832000,0,0,0,1
1.716841000,1,0,0,1
1.726820000,0,0,0,1
1.726828000,0,0,0,0
1.726835000,0,0,0,1
1.726844000,1,0,0,1
1.736823000,0,0,0,1
1.736831000,0,0,0,0
1.736837000,0,0,0,1
1.736846000,0,1,0,1
1.746825000,0,0,0,1
1.746834000,0,0,0,0
1.746840000,0,0,0,1
1.746853000,0,0,1,1
1.756873000,0,0,0,1
1.756875000,0,0,0,0
1.756881000,0,0,0,1
1.756892000,0,0,1,1
1.761830000,0,0,0,1
1.761840000,0,0,0,0
1.761846000,0,0,0,1
1.761855000,1,0,0,1
1.771834000,0,0,0,1
1.771842000,0,0,0,0
1.771848000,0,0,0,1
1.771857000,0,1,0,1
1.781836000,0,0,0,1
1.781844000,0,0,0,0
1.781851000,0,0,0,1
1.781860000,1,0,0,1
1.791839000,0,0,0,1
1.791847000,0,0,0,0
1.791853000,0,0,0,1
1.791862000,1,0,0,1
1.801841000,0,0,0,1
1.801849000,0,0,0,0
1.801856000,0,0,0,1
1.801865000,0,1,0,1
1.811844000,0,0,0,1
1.811852000,0,0,0,0
1.811858000,0,0,0,1
1.811872000,0,0,1,1
1.821892000,0,0,0,1
1.821893000,0,0,0,0
1.821899000,0,0,0,1
1.821911000,0,0,1,1
1.826849000,0,0,0,1
1.826860000,0,0,0,0
1.826866000,0,0,0,1
1.826875000,1,0,0,1
1.836852000,0,0,0,1
1.836860000,0,0,0,0
1.836867000,0,0,0,1
1.836876000,0,1,0,1
1.846854000,0,0,0,1
1.846863000,0,0,0,0
1.846869000,0,0,0,1
1.846878000,1,0,0,1
1.856857000,0,0,0,1
1.856865000,0,0,0,0
1.856872000,0,0,0,1
1.856880000,1,0,0,1
1.866860000,0,0,0,1
1.866868000,0,0,0,0
1.866874000,0,0,0,1
1.866883000,0,1,0,1
1.876862000,0,0,0,1
1.876870000,0,0,0,0
1.876877000,0,0,0,1
1.876890000,0,0,1,1
1.886910000,0,0,0,1
1.886912000,0,0,0,0
1.886918000,0,0,0,1
1.886929000,0,0,1,1
1.891868000,0,0,0,1
1.891879000,0,0,0,0
1.891884000,0,0,0,1
1.891893000,1,0,0,1
1.901871000,0,0,0,1
1.901879000,0,0,0,0
1.901885000,0,0,0,1
1.901894000,0,1,0,1
1.911873000,0,0,0,1
1.911881000,0,0,0,0
1.911888000,0,0,0,1
1.911896000,1,0,0,1
1.921875000,0,0,0,1
1.921884000,0,0,0,0
1.921890000,0,0,0,1
1.921899000,1,0,0,1
1.931879000,0,0,0,1
1.931888000,0,0,0,0
1.931894000,0,0,0,1
1.931903000,0,1,0,1
1.941882000,0,0,0,1
1.941890000,0,0,0,0
1.941897000,0,0,0,1
1.941910000,0,0,1,1
1.951929000,0,0,0,1
1.951931000,0,0,0,0
1.951936000,0,0,0,1
1.951949000,0,0,1,1
1.956886000,0,0,0,1
